"","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","F13","F14","F15","H01","H02","H03","H04"
"1947",NA,19.7656867677712,20.3943245214783,NA,NA,NA,19.9122996190065,19.3261010130038,NA,18.8137297142036,NA,19.7971002587588,19.8285156851671,NA,19.9751466042251,NA,NA,NA,NA
"1948",NA,19.7135376559372,20.3211522853591,20.2687431940992,NA,NA,20.4574411244914,19.7658897217373,NA,19.3158375499061,NA,19.3367614003757,19.5669804638175,NA,19.7030678877983,NA,NA,NA,NA
"1949",NA,19.7135376559372,19.8601369877081,19.692598334651,NA,NA,20.0277307040518,20.3106700363681,NA,18.6362797185583,NA,19.7344778372162,20.2792245816254,NA,19.8496642089914,NA,NA,NA,NA
"1950",NA,20.2899146282579,19.6404554368025,19.8917608880947,NA,NA,20.2794329155537,19.9965080571446,NA,19.0545573945432,NA,19.8184506695145,19.7870352305749,NA,20.4471661666187,NA,NA,NA,NA
"1951",NA,19.5671813403417,19.9650816473246,19.9650816473246,NA,NA,20.3947436015987,20.1431902458065,NA,19.0650139550156,NA,18.9918225377836,20.3842597349224,NA,19.8498680440743,NA,NA,NA,NA
"1952",NA,19.9755569020941,19.9965080571446,19.8498680440743,NA,NA,20.6883793588966,19.106842342897,NA,18.9604580058687,NA,19.1695913634218,20.1746276322548,NA,20.0488897105647,NA,NA,NA,NA
"1953",NA,19.9967134317934,20.468347016574,19.6930027208789,NA,NA,19.9757620573494,19.3057722308892,NA,18.6157664772611,NA,18.9606525419381,20.0071894417912,NA,19.7977101196283,NA,NA,NA,NA
"1954",NA,19.4313282693492,20.0490956337753,19.8710180944361,NA,NA,19.5464484801199,19.6930027208789,NA,19.4208640847456,NA,18.1771580889891,20.1014832162373,NA,19.1384122814219,NA,NA,NA,NA
"1955",NA,19.4629219019463,19.3687451886066,19.787441597782,NA,NA,19.65132754266,19.1176923313733,NA,18.9399380296719,NA,18.4383780790451,20.2903315286068,NA,19.4419922396272,NA,NA,NA,NA
"1956",NA,19.8712221571829,19.2641248011495,20.0702561679574,NA,NA,20.017871265265,20.0912116356465,NA,19.2222826588943,NA,18.1564675367281,20.1645625532877,NA,20.0702561679574,NA,NA,NA,NA
"1957",NA,19.860952791727,19.819061213173,20.4058566658104,NA,NA,20.0495074928871,19.4631216958374,NA,18.9401323552044,NA,18.8460512546936,20.4792535810436,NA,20.059984798373,NA,NA,NA,NA
"1958",NA,19.4107986039828,19.1806407914452,20.2905399852059,NA,NA,20.1542902341062,20.0180768677718,NA,18.8251467027781,NA,19.4945181291833,20.2171702125474,NA,19.2957067052581,NA,NA,NA,NA
"1959",NA,19.6098562628337,20.0811463201685,19.7983200180732,NA,NA,19.431926665777,20.1021026573398,NA,19.1599191322106,NA,19.0239697914956,20.5004367260957,NA,19.5993880966314,NA,NA,NA,NA
"1960",NA,19.2331376493288,20.0078059201742,19.6517310772516,NA,NA,19.6517310772516,19.7669045540894,NA,18.4805349304672,NA,18.0942129273669,NA,NA,19.7145497484341,NA,NA,NA,NA
