Site,Year,?13C Wood,d13C Comment
F07,1963,-26.62
F07,1964,-26.05
F07,1965,-26.43
F07,1966,-26.37
F07,1967,-26.93
F07,1968,-26.48
F07,1969,-25.99
F07,1970,-26.06
F07,1971,-26.33
F07,1972,-26.39
F07,1973,-27.02
F07,1974,-26.44
F07,1975,-25.9
F07,1976,-25.57
F07,1977,-25.95
F07,1978,-26.88
F07,1979,-26.34
F07,1980,-26.22
F07,1981,-26.47
F07,1982,-26.9
F07,1983,-26.36
F07,1984,-27.04
F07,1985,-27.67
F07,1986,-26.45
F07,1987,-26.76
F07,1988,-26.39
F07,1989,-27.04
F07,1990,-26.45
F07,1991,-27.29
F07,1992,-27.58
F07,1993,-27.45
F07,1994,-27.56
F07,1995,-26.91
F07,1996,-27.09
F07,1997,-26.56
F07,1998,-27.98
F07,1999,-27.38
F07,2000,-27.6
F07,2001,-27.5
F07,2002,-27.71
F07,2003,-27.82
F07,2004,-28.05
F07,2005,-27.61
F07,2006,-27.48
F07,2007,-28.34
F07,2008,-27.81
F07,2009,-27.8
F07,2010,-27.75
F08,1943,-27.61
F08,1944,-27.43
F08,1945,-26.61
F08,1946,-26.42
F08,1947,-25.67
F08,1948,-26.1
F08,1949,-26.62
F08,1950,-26.33
F08,1951,-26.47
F08,1952,-25.48
F08,1953,-25.68
F08,1954,-26.05
F08,1955,-25.51
F08,1956,-26.44
F08,1957,-25.85
F08,1958,-26.38
F08,1959,-26.47
F08,1960,-26.15
F08,1961,-24.88
F08,1962,-26
F08,1963,-26.54
F08,1964,-25.99
F08,1965,-25.92
F08,1966,-25.81
F08,1967,-25.9
F08,1968,-26.19
F08,1969,-26.48
F08,1970,-25.54
F08,1971,-25.87
F08,1972,-25.46
F08,1973,-26.06
F08,1974,-26.23
F08,1975,-25.93
F08,1976,-25.51,
F08,1977,-25.03,
F08,1978,-26.18,
F08,1979,-26.46,
F08,1980,-24.95,
F08,1981,-25.19,
F08,1982,-26.04,
F08,1983,-25.88,
F08,1984,-25.84,
F08,1985,-26.3,
F08,1986,-26.27,
F08,1987,-25.67,
F08,1988,-26.24,
F08,1989,-26.19,
F08,1990,-25.91,
F08,1991,-25.38,
F08,1992,-25.88
F08,1993,-26.39
F08,1994,-26.57
F08,1995,-25.38
F08,1996,-25.97
F08,1997,-25.47
F08,1998,-25.93
F08,1999,-26.21
F08,2000,-26.65
F08,2001,-26.73
F08,2002,-26.26
F08,2003,-26.35
F08,2004,-27.26
F08,2005,-26.84
F08,2006,-26.37
F08,2007,-26.87
F08,2008,-26.97
F08,2009,-26.92
F08,2010,-27.02
F09,1983,-27.71
F09,1984,-28.83
F09,1985,-28.72
F09,1986,-28
F09,1987,-28.39
F09,1988,-27.89
F09,1989,-27.8
F09,1990,-27.06
F09,1991,-28.32
F09,1992,-27.8
F09,1993,-28.08
F09,1994,-27.54
F09,1995,-27.24
F09,1996,-27.6,
F09,1997,-27.88,
F09,1998,-27.58,
F09,1999,-27.63,
F09,2000,-27.53,
F09,2001,-26.99,
F09,2002,-27.52,
F09,2003,-28.49,
F09,2004,-27.75,
F09,2005,-27.77,
F09,2006,-27.87,
F09,2007,-27.73,
F09,2008,-27.5,
F09,2009,-27.37,
F09,2010,-27.37,
F10,1877,-26.54,precision for size standards in this run are poor - interpret cautiously
F10,1878,-27,precision for size standards in this run are poor - interpret cautiously
