"","coef","significant","ci.lower","ci.upper","var","month","id"
"Min.Temp.curr.feb1",-0.0414332758426064,FALSE,-0.155727579934169,0.0638446772490957,"Min.Temp","February","IT"
"Min.Temp.curr.mar1",-0.124385338519851,TRUE,-0.215392118798315,-0.0228586007952997,"Min.Temp","March","IT"
"Min.Temp.curr.apr1",-0.0181039848917808,FALSE,-0.155517615256868,0.102782233238814,"Min.Temp","April","IT"
"Min.Temp.curr.may1",-0.0588018758596668,FALSE,-0.170800205945375,0.0480514721202674,"Min.Temp","May","IT"
"Min.Temp.curr.jun1",-0.248031771164603,TRUE,-0.35732741015142,-0.142011265155453,"Min.Temp","June","IT"
"Min.Temp.curr.jul1",-0.127016877012207,FALSE,-0.276429231850462,-0.00770014182974853,"Min.Temp","July","IT"
"Min.Temp.curr.aug1",-0.118304510219505,FALSE,-0.325576125235999,0.00734812921053365,"Min.Temp","August","IT"
"Min.Temp.curr.sep1",-0.1608723627684,FALSE,-0.357325176786846,-0.00144430341033872,"Min.Temp","September","IT"
"Min.Temp.curr.oct1",-0.0789002103319983,FALSE,-0.229643903805127,0.0420546022140352,"Min.Temp","October","IT"
"Max.Temp.curr.feb1",0.0353538288586503,FALSE,-0.0938164938205667,0.1674415979001,"Max.Temp","February","IT"
"Max.Temp.curr.mar1",-0.0536005170604321,FALSE,-0.147320790256884,0.0928159708373187,"Max.Temp","March","IT"
"Max.Temp.curr.apr1",0.0438941734744865,FALSE,-0.0656337250986759,0.155551600237596,"Max.Temp","April","IT"
"Max.Temp.curr.may1",0.0679146598641257,FALSE,-0.0576234935124707,0.204394335278827,"Max.Temp","May","IT"
"Max.Temp.curr.jun1",-0.117507510857494,FALSE,-0.256216517372838,0.0397408714134426,"Max.Temp","June","IT"
"Max.Temp.curr.jul1",0.117544262664485,FALSE,-0.041943708994318,0.295293587443722,"Max.Temp","July","IT"
"Max.Temp.curr.aug1",0.131156605848531,FALSE,-0.0424626653398405,0.313381318566254,"Max.Temp","August","IT"
"Max.Temp.curr.sep1",0.0687840969785528,FALSE,-0.0672801783912324,0.233480851400965,"Max.Temp","September","IT"
"Max.Temp.curr.oct1",0.107449306776032,FALSE,-0.0091249770782397,0.223673861922896,"Max.Temp","October","IT"
"Precipitation.curr.feb1",0.121307369445155,FALSE,-0.0655329315263573,0.297238159779358,"Precipitation","February","IT"
"Precipitation.curr.mar1",0.0406191103008944,FALSE,-0.142298818485887,0.20538056609827,"Precipitation","March","IT"
"Precipitation.curr.apr1",-0.0804623301011383,FALSE,-0.230578078027163,0.088941906295589,"Precipitation","April","IT"
"Precipitation.curr.may1",-0.15095624474665,FALSE,-0.317375484611983,0.0297809119322238,"Precipitation","May","IT"
"Precipitation.curr.jun1",-0.033636013952955,FALSE,-0.242603494897804,0.194803359395191,"Precipitation","June","IT"
"Precipitation.curr.jul1",-0.0244586543099908,FALSE,-0.226869421996099,0.14841193566758,"Precipitation","July","IT"
"Precipitation.curr.aug1",-0.0830410364520019,FALSE,-0.253542063848172,0.131677435361585,"Precipitation","August","IT"
"Precipitation.curr.sep1",0.0171941659921994,FALSE,-0.21050203773156,0.204116890566117,"Precipitation","September","IT"
"Precipitation.curr.oct1",-0.0368997027697413,FALSE,-0.213101470889788,0.167697832896116,"Precipitation","October","IT"
"Min.Temp.curr.feb2",-0.0737003935692278,FALSE,-0.223424997400025,0.0520909355833872,"Min.Temp","February","TA"
"Min.Temp.curr.mar2",-0.0891041754510203,FALSE,-0.210978322233102,0.0232186881875415,"Min.Temp","March","TA"
"Min.Temp.curr.apr2",0.11250239130607,FALSE,-0.0720302445579183,0.285992181004312,"Min.Temp","April","TA"
"Min.Temp.curr.may2",-0.0262604667529075,FALSE,-0.151595772685078,0.103173702337706,"Min.Temp","May","TA"
"Min.Temp.curr.jun2",-0.0794966060494102,FALSE,-0.21467449488078,0.0710277282700193,"Min.Temp","June","TA"
"Min.Temp.curr.jul2",0.114020834734133,FALSE,-0.026388568350557,0.235296399026338,"Min.Temp","July","TA"
"Min.Temp.curr.aug2",0.18735830285529,TRUE,0.0171584127403987,0.387423781689133,"Min.Temp","August","TA"
"Min.Temp.curr.sep2",0.0228821100170883,FALSE,-0.134426379277251,0.251481313136145,"Min.Temp","September","TA"
"Min.Temp.curr.oct2",0.134669014685662,TRUE,0.0177520441118837,0.279186285219614,"Min.Temp","October","TA"
"Max.Temp.curr.feb2",-0.0565318637145509,FALSE,-0.180911770868422,0.0710834358944371,"Max.Temp","February","TA"
"Max.Temp.curr.mar2",-0.0290570585985333,FALSE,-0.159008576094026,0.0890682572197051,"Max.Temp","March","TA"
"Max.Temp.curr.apr2",0.0991778380849492,FALSE,-0.0424590679970206,0.2484481157225,"Max.Temp","April","TA"
"Max.Temp.curr.may2",-0.072118157637156,FALSE,-0.224388465885332,0.0736254200450873,"Max.Temp","May","TA"
"Max.Temp.curr.jun2",-0.132578490963925,FALSE,-0.287306131669416,0.0198021929228879,"Max.Temp","June","TA"
"Max.Temp.curr.jul2",0.0526797844532631,FALSE,-0.150067456238635,0.210138248758145,"Max.Temp","July","TA"
"Max.Temp.curr.aug2",0.111443334033688,FALSE,-0.0838308140049616,0.27402516458796,"Max.Temp","August","TA"
"Max.Temp.curr.sep2",-0.095773696160465,FALSE,-0.283301708491859,0.0778043126010384,"Max.Temp","September","TA"
"Max.Temp.curr.oct2",0.0897228149853464,FALSE,-0.0494312062812527,0.244332175577432,"Max.Temp","October","TA"
"Precipitation.curr.feb2",0.155342696663196,FALSE,-0.0427956724881154,0.349208621996318,"Precipitation","February","TA"
"Precipitation.curr.mar2",0.18033926542697,FALSE,-0.0206605387632894,0.401027062402779,"Precipitation","March","TA"
"Precipitation.curr.apr2",0.0990090971169671,FALSE,-0.100303592938711,0.282778271996404,"Precipitation","April","TA"
"Precipitation.curr.may2",0.0639753159395152,FALSE,-0.186410532915484,0.303461592509817,"Precipitation","May","TA"
"Precipitation.curr.jun2",0.0711282514014408,FALSE,-0.151465537557754,0.285248602326305,"Precipitation","June","TA"
"Precipitation.curr.jul2",0.0742222040757507,FALSE,-0.192852092955434,0.297998280776544,"Precipitation","July","TA"
"Precipitation.curr.aug2",0.00206806557666206,FALSE,-0.21884742521207,0.188477094814438,"Precipitation","August","TA"
"Precipitation.curr.sep2",0.0540986605728154,FALSE,-0.14155987543527,0.218071637144031,"Precipitation","September","TA"
"Precipitation.curr.oct2",-0.0105820039403947,FALSE,-0.228962247907422,0.173761114408566,"Precipitation","October","TA"
"Min.Temp.curr.feb3",0.0189262148524942,FALSE,-0.102351195567195,0.139248685418587,"Min.Temp","February","T"
"Min.Temp.curr.mar3",-0.04936483252342,FALSE,-0.183963895643804,0.079193142924709,"Min.Temp","March","T"
"Min.Temp.curr.apr3",0.0013976544363626,FALSE,-0.167919188939571,0.174814366252083,"Min.Temp","April","T"
"Min.Temp.curr.may3",0.0203125550950402,FALSE,-0.110436466987887,0.150242273697817,"Min.Temp","May","T"
"Min.Temp.curr.jun3",-0.105073152175193,FALSE,-0.238116332085655,0.0293566092480113,"Min.Temp","June","T"
"Min.Temp.curr.jul3",0.0280757926885601,FALSE,-0.128905213845059,0.155148731303755,"Min.Temp","July","T"
"Min.Temp.curr.aug3",0.0866590397973868,FALSE,-0.0900607540157666,0.23563895415272,"Min.Temp","August","T"
"Min.Temp.curr.sep3",0.0235818576002061,FALSE,-0.132034031975227,0.194852737013165,"Min.Temp","September","T"
"Min.Temp.curr.oct3",0.0292129465216715,FALSE,-0.115057642295317,0.159908142214928,"Min.Temp","October","T"
"Max.Temp.curr.feb3",0.0343133550824586,FALSE,-0.0934586763660069,0.160570408434247,"Max.Temp","February","T"
"Max.Temp.curr.mar3",-0.027231549318422,FALSE,-0.14241045497203,0.101442429514443,"Max.Temp","March","T"
"Max.Temp.curr.apr3",-0.00275917452465057,FALSE,-0.139452343097152,0.144216665808357,"Max.Temp","April","T"
"Max.Temp.curr.may3",0.0892266125446809,FALSE,-0.0580768688952101,0.223633926673505,"Max.Temp","May","T"
"Max.Temp.curr.jun3",-0.137171224808501,FALSE,-0.275395913311825,0.032973458794015,"Max.Temp","June","T"
"Max.Temp.curr.jul3",0.0626087418352836,FALSE,-0.0975362961796865,0.21764617394987,"Max.Temp","July","T"
"Max.Temp.curr.aug3",0.137589806557966,FALSE,-0.0287326634070078,0.316919970221262,"Max.Temp","August","T"
"Max.Temp.curr.sep3",0.0107117279244858,FALSE,-0.139376457366018,0.158417329983339,"Max.Temp","September","T"
"Max.Temp.curr.oct3",0.0340367328564672,FALSE,-0.08939025674389,0.16176227061319,"Max.Temp","October","T"
"Precipitation.curr.feb3",0.0154645133264171,FALSE,-0.208599196696383,0.267513830325196,"Precipitation","February","T"
"Precipitation.curr.mar3",0.0932698595802237,FALSE,-0.114393780465168,0.332306795775961,"Precipitation","March","T"
"Precipitation.curr.apr3",-0.0104519278294576,FALSE,-0.19152256853199,0.19276147552769,"Precipitation","April","T"
"Precipitation.curr.may3",-0.179924763907838,FALSE,-0.394271973611931,0.0236785039701843,"Precipitation","May","T"
"Precipitation.curr.jun3",0.0590795206816382,FALSE,-0.153080823571741,0.279176506197514,"Precipitation","June","T"
"Precipitation.curr.jul3",-0.00462163340535716,FALSE,-0.218885506149926,0.197341674086713,"Precipitation","July","T"
"Precipitation.curr.aug3",-0.0958594611226331,FALSE,-0.301759244142839,0.101819462651725,"Precipitation","August","T"
"Precipitation.curr.sep3",0.0580246341802853,FALSE,-0.153616675569051,0.228373336582895,"Precipitation","September","T"
"Precipitation.curr.oct3",0.0395885273286301,FALSE,-0.162931753941502,0.222544518509355,"Precipitation","October","T"
