"","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","F13","F14","F15","H01","H02","H03","H04"
"1971",NA,70.1370934186583,61.5364612654652,66.2640731858744,NA,NA,66.0750619338147,70.4203571391909,NA,70.1370934186583,NA,73.8181614081411,62.1986193559134,NA,65.1298891880545,NA,NA,NA,62.3877898873839
"1972",NA,68.3843404139517,64.21147647047,66.5828845544106,NA,NA,66.0138576815388,74.8259004168701,NA,73.1216565868333,NA,73.8791760200458,63.3574713465423,NA,64.5909836155551,NA,NA,NA,61.1742961152798
"1973",NA,68.7491445058172,66.648869081813,70.5622552029912,NA,NA,60.7248010718645,69.8943493548057,NA,79.1410719963894,NA,74.9489636118059,66.8398424327567,NA,66.2668988407476,NA,NA,NA,66.2668988407476
"1974",NA,70.1860500993193,65.2139752376306,73.7206408799056,NA,NA,66.6487726870128,68.656746499396,NA,79.0651883143102,NA,72.9566325286233,69.9949146290889,NA,70.0904833454729,NA,NA,NA,65.883602405711
"1975",NA,68.9342545469004,67.9755681113264,71.6175293273389,NA,NA,72.2881069932491,72.0007283666354,NA,81.1880730082369,NA,65.5779902485767,65.8657646158429,NA,67.9755681113264,NA,NA,NA,60.9711867732169
"1976",NA,69.7075301973043,65.6682937208291,66.9189060256197,NA,NA,75.951865202634,76.5278453997539,NA,80.6536287955917,NA,69.9959137641149,65.2834227249386,NA,66.2455409076347,NA,NA,NA,72.3984193394803
"1977",NA,70.9366536420766,64.7491744260145,65.8132265071033,NA,NA,72.8685734125785,81.7451955805584,NA,80.0097835742157,NA,65.9099465885703,71.9027127069451,NA,62.8139179041898,NA,NA,NA,67.1671268178702
"1978",NA,68.6553746057786,60.4881852326313,65.2540924202249,NA,NA,64.4763129605204,71.2775503443424,NA,80.7828726382721,NA,71.7629788866489,69.3353375940042,NA,68.8496597227329,NA,NA,NA,63.4066573721878
"1979",NA,72.0505716717471,70.2956016223977,66.6861246470665,NA,NA,70.2956016223977,69.1252610557656,NA,81.3021764694587,NA,78.479915102821,63.8551561405742,NA,69.8079947798054,NA,NA,NA,74.9740805073175
"1980",NA,65.0933306325506,71.569116787403,71.569116787403,NA,NA,72.1573893369094,84.5921736824933,NA,78.5256984251015,NA,82.5382640055659,73.1376825059946,NA,70.8827071770352,NA,NA,NA,61.1643346118272
"1981",NA,75.8989711287842,69.5983328398529,72.4543357435787,NA,NA,70.2878686383892,82.8790617002923,NA,84.0577909598502,NA,75.3086380172645,71.4696993374988,56.9721694601331,72.2574246415731,NA,NA,NA,60.8227240405655
"1982",NA,68.3849842569364,72.736064648402,67.0986848063984,66.5048922201922,NA,66.5048922201922,75.008928425401,NA,79.5514370881485,NA,76.6881813942625,68.088176421584,60.2656462501152,72.4395249940697,NA,NA,NA,72.5383735758216
"1983",NA,71.5793048448953,69.8902721247121,71.8773082119418,71.5793048448953,NA,72.4732598531811,77.2382300735059,59.0465574549756,90.0208497557823,NA,70.4864686834538,65.0185810241533,53.864838452,75.3526576482755,NA,NA,NA,71.0825917510942
"1984",NA,80.5709629416889,70.2003089469313,66.005875390857,58.0064516379005,NA,66.3055978799482,78.2793599441425,48.3897468155143,83.5583849975173,NA,74.1916436150272,78.0800389783337,56.6051986552631,79.873633083423,NA,NA,NA,68.702712563971
"1985",NA,72.3963470088121,63.3689794102048,65.2761479499011,61.4610655916733,NA,60.5570566900291,74.2999912067917,49.9979073322094,71.494361432177,NA,81.7071083350619,71.2938975418704,54.6266290456805,77.1540649294494,NA,NA,NA,71.5945902882963
"1986",NA,79.9112718195824,60.7871792854549,69.3519255136476,67.5394634930172,NA,73.3772193631054,75.187522649766,57.7607512564187,80.5139755776066,NA,79.5094280681845,68.0429924302368,56.3477787563725,82.3216415223557,NA,61.4930771195977,NA,64.7187447970672
"1987",NA,81.0214718719415,68.1832919056991,71.8258633805575,64.0315233014145,NA,70.8143082789246,81.8290556074431,54.2966017971449,86.7726136824352,NA,77.3857031767593,76.2742376573946,64.8418993430501,81.1224270919303,NA,55.8189511631482,NA,67.7783953471197
"1988",NA,77.9119384016783,67.2189116661677,70.174530375963,61.0982404903962,NA,75.3680716293244,76.8945484377318,60.0773940624367,76.1822511221568,NA,77.6067433518361,69.0536410232413,60.7920086132489,84.0626945502522,NA,67.5247470411419,NA,69.7669635693549
"1989",NA,79.9774348776144,74.8681604272059,73.4366229404432,61.6619622273102,NA,69.3442457956962,78.036528645968,61.5594517065574,83.856976529618,NA,82.5301054844775,70.6746374046158,69.4465962334694,84.265173315944,NA,68.0134986243265,NA,77.4234535284628
"1990",NA,81.3891475223638,81.2866631051802,74.8258999059262,68.6650124801102,NA,75.9545722041584,81.491629835339,69.6923547375613,83.8481424212721,NA,88.6601666479878,79.7491442983451,64.142196299276,84.7187459726955,NA,66.8152640821748,NA,73.3890389153678
"1991",NA,85.7755911179985,72.6056488364911,73.1207498934292,67.3485930960877,NA,67.8642344521142,87.5221217883784,57.2313093534563,84.4395976054459,NA,82.7948084022104,79.1949477018831,69.9262698771899,82.5891717616229,NA,60.9502331084193,NA,70.3385752327221
"1992",NA,74.0040953844747,71.3191906020064,68.426149518147,68.7361978686917,NA,65.3246138340566,82.874723485395,63.048937793673,82.5655466374925,NA,78.1319181647243,76.6875660407957,64.6006467942595,84.6778756196845,NA,65.1177767443384,NA,66.3586716736994
"1993",NA,78.1759673696028,67.2081656502692,72.0741962603835,62.5447909964318,NA,67.0009961922698,77.9692487652922,60.4707939198171,60.6782320372029,NA,76.6253707958966,75.2811338515464,63.06315693004,79.6744233039673,77.762521667936,64.2033743170419,NA,71.9707126392387
"1994",NA,73.045323782971,68.5721998116248,77.722268547237,70.8612688748747,NA,66.4903291574192,76.7872255258047,66.6985547577634,87.0631988273306,NA,79.6956806216403,79.2802894515696,66.1779746968871,81.4088085100462,69.4047083645386,67.4272769152241,NA,73.2532798481018
"1995",NA,79.8163477090358,73.3377944308442,84.6176870959041,67.6884529240103,NA,73.9651120047559,89.9356132083609,70.5139076951741,69.1536993621618,NA,82.6350749675429,85.3479281962938,98.4743458636139,83.0525312772926,68.4211288736377,75.742091763854,NA,81.173707804474
"1996",NA,77.8970920171245,80.6262349568611,77.2670827434174,71.0678519382145,NA,72.7497422970347,84.5075032754393,67.3867871619531,80.3114082373199,NA,84.0880488650281,85.2414656017854,76.3219231846814,81.5181386486381,65.387384932245,64.5452975448993,NA,72.9599396964547
"1997",NA,77.3944336176351,70.9647951626395,75.0764770020455,67.377560894462,NA,78.8689514068891,90.3346359571426,64.9494795541284,81.7114668841862,NA,81.8167149616706,81.6062166448844,70.7538508038634,82.4481580321426,66.3220145116587,68.1163141898244,NA,78.3423866016059
"1998",NA,81.3069084982394,73.7666097484123,72.0658677118883,72.4911056720464,NA,64.6185380611,86.3983475507748,68.875467899127,87.0344246332943,NA,77.378829813512,72.9163086619775,71.5342710782363,83.8002193234801,61.5300724461728,62.5952688023616,NA,76.7415626226503
"1999",NA,82.7395270234344,65.4429006595198,71.2148451184123,71.4284977521251,NA,71.6421415991529,84.125033525268,68.9709618319432,64.3733182241939,NA,78.6874627661741,77.0870925751719,72.3898258764332,81.4069602826979,66.5122630478494,64.9081369519762,NA,75.1659969799219
"2000",NA,77.9723192613644,70.7955169045576,73.9031074975888,73.1531690770326,NA,69.8307153544009,80.0057336650043,70.58113199297,69.6162907559902,NA,76.1522753237511,79.4707015817914,73.3674482109425,82.0383543699019,73.3674482109425,72.4031227117292,NA,78.2934374791706
"2001",55.7874471235657,77.3382144336989,76.5854337743681,73.2503884237077,77.8758485962335,55.2475404658387,71.5282427997816,79.8108741943158,77.0156074139021,81.2079476122377,58.4861466138637,86.2557934656695,77.9833687987847,80.8855791764558,81.8526248754784,80.0258328579136,75.1871251395877,69.6978420636854,85.0748195026886
"2002",50.7712727626354,79.7137301552408,73.8730180559998,79.0650822501045,76.3615214529546,52.9447635164702,69.9756056873578,85.6559444485645,72.0329329065075,59.3513463035461,50.3364671108832,88.0309510312248,77.2268120691462,81.983368100318,82.8477345076382,80.6865520604354,78.3082252588268,69.2174403263364,76.2533501199489
"2003",54.8308314399393,77.5304108003742,73.2816358464225,76.1145310131605,87.4309845982422,59.5315050172489,69.5747942892963,85.5828325690575,62.262541867017,78.7281674227744,56.3617404029917,85.6915652592381,76.1145310131605,75.8966697644728,84.5497606053251,71.428539109133,71.7556032632368,73.935515320122,73.2816358464225
"2004",57.3838915544606,73.8317538866275,79.5218424794404,93.0660039830639,75.2548464184609,60.6775280646281,67.5875466258871,76.2398415030456,70.8748841610215,62.8721556750411,61.4457505248387,80.7247358301593,74.8170123117999,67.149081621441,78.8656041950403,81.8180392848294,79.6312076586802,57.1642434243504,77.224654336759
"2005",61.4836607232908,82.0925220693343,71.7428967387179,75.7089466904737,81.1024660533244,60.2689033070895,73.1754201990407,81.6525197813746,71.4122599977481,78.0211202873216,61.4836607232908,89.0177902046104,77.2505066780153,72.4041090117825,74.9380002643357,73.5059481426959,72.6244949688927,71.4122599977481,70.8611534163618
"2006",63.0379557352222,79.7742807756161,77.5605343414362,77.8926543384666,79.4422768340417,58.2624600531313,75.3458773876025,87.6257354161541,71.024675317242,78.3354491362632,61.7056846134376,90.2771592906269,81.2127279576171,83.5355616599372,80.9361333503332,82.2083508730338,78.4461421460177,64.3698977420343,73.2411094008835
"2007",62.7802875475274,78.26559808205,76.3740869386792,71.475338996652,73.257214891963,59.5439497766832,66.46066684712,82.824758949977,73.257214891963,74.8158752867727,62.3340110273929,87.713245208016,80.2676540895434,76.4853706047937,80.3788577020513,74.5932369946615,64.4534971912211,69.6928764453541,82.824758949977
"2008",64.0815248797977,80.9792329257843,68.2268802167913,80.6440275873611,73.3761654457739,57.9136708613434,73.0404910306737,82.4315505414434,76.5081279716541,76.3963032225597,62.7364070491914,90.5796699646513,75.166079181097,74.0474521319472,80.3088015751165,73.9355767711881,72.0333434743048,66.2106152370275,74.7186559721999
"2009",64.937357384218,72.7005792948065,75.6229933448346,67.1887014420583,78.6561542383689,66.5133955490613,73.7123610486571,83.5954765335941,78.5438449761566,77.6452877334605,68.2015039140925,77.4206253243411,75.7353626750495,74.9487288243771,81.8559976945489,71.3512454935759,73.4875368481237,72.3632770765071,73.5999501046674
"2010",66.9185565881441,77.8937072024933,80.3798713870129,74.1623511244938,78.4588432846686,67.0318142726965,75.0671548922875,83.3166159246741,79.3629401600114,82.5261083424755,64.8795195002758,82.3002281395081,74.9540625643983,79.9279251859928,81.509574288907,78.6848814474396,73.8230113187929,70.8811887852792,77.6676364980184
